Year,Average New House Prices in Euro,Average Second Hand House Prices in Euro,GDP Rate,Housing Construction Cost Index,Number of House Loans Approved - New Houses,Number of House Loans Approved - Second hand Houses,Value of House Loans Approved New houses,Value of House Loans Approved Second-hand houses,Number of House Loans Paid - New Houses,Number of House Loans Paid - Second hand Houses,Value of House Loans Paid New houses,Value of House Loans Paid Second-hand houses,Total Number of House Loans Approved,Total Number of House Loans Paid,Inflation Rate
1975,13254.0,12478.0,5.65664586404802,20.0,15457.0,10412.0,115.2,85.5,13932.0,7309.0,92.0,56.0,25869.0,21241.0,20.8758503401952
1976,15564.0,15303.0,1.39480784022186,22.9,13712.0,11528.0,129.9,112.8,13228.0,8823.0,103.0,82.0,25240.0,22051.0,17.9856958613385
1977,18754.0,17925.0,8.21130154189906,26.9,12508.0,12032.0,137.1,140.1,12207.0,9832.0,110.0,108.0,24540.0,22039.0,13.4722252633927
1978,24082.0,21895.0,7.18672847818829,29.6,14215.0,12562.0,187.5,170.8,11759.0,10889.0,141.0,143.0,26777.0,22648.0,7.71114118004808
1979,29387.0,27598.0,3.07303679664597,34.2,15833.0,14218.0,244.0,230.3,12702.0,12040.0,182.0,189.0,30051.0,24742.0,13.2954539852612
1980,34967.0,30927.0,3.07932969599275,42.3,14651.0,14077.0,261.8,260.6,14053.0,12304.0,236.0,224.0,28728.0,26357.0,18.1544433038192
1981,40167.0,37394.0,3.32521561640642,50.4,14572.0,14913.0,300.7,331.8,12994.0,13247.0,278.0,292.0,29485.0,26241.0,20.3735228947773
1982,44060.0,40308.0,2.28346835367206,57.4,12816.0,14008.0,305.0,341.4,12813.0,11300.0,281.0,275.0,26824.0,24113.0,17.1471142032124
1983,44448.0,43204.0,-0.244302259773832,62.2,12715.0,17542.0,331.9,472.0,12476.0,15451.0,308.0,407.0,30257.0,27927.0,10.4476295240831
1984,45419.0,45208.0,4.35437387991944,68.4,12385.0,16467.0,342.8,444.5,12759.0,15221.0,330.0,420.0,28852.0,27980.0,8.65111383765405
1985,46542.0,45608.0,3.08561439248321,76.1,11958.0,19245.0,344.5,535.2,11817.0,16243.0,324.0,446.0,31203.0,28060.0,5.39549731466383
1986,48256.0,47082.0,-0.428331115010991,81.7,10682.0,19409.0,318.2,558.4,10233.0,17399.0,290.0,497.0,30091.0,27632.0,3.82703931524415
1987,48151.0,46330.0,4.6630913287091,84.8,9956.0,21918.0,316.0,670.2,10281.0,18098.0,298.0,537.0,31874.0,28379.0,3.15940764053431
1988,52450.0,50501.0,5.21741414636998,88.2,9500.0,33043.0,351.8,1078.1,9650.0,27289.0,304.0,834.0,42543.0,36939.0,2.13457156859609
1989,58178.0,54586.0,5.81392015028104,94.2,12791.0,32299.0,545.6,1232.5,11268.0,27312.0,434.0,983.0,45090.0,38580.0,4.08904273020372
1990,65541.0,62387.0,8.46652751562198,98.6,11475.0,23337.0,516.1,975.8,11290.0,19761.0,455.0,792.0,34812.0,31051.0,3.31732129894252
1991,66914.0,64122.0,1.9296392999649,102.2,12204.0,24854.0,570.4,1041.4,12044.0,21676.0,487.0,872.0,37058.0,33720.0,3.21081702751349
1992,69264.0,65331.0,3.34327408605159,104.7,14695.0,29738.0,702.8,1310.8,15019.0,27025.0,604.0,1152.0,44433.0,42044.0,3.06999743466961
1993,69883.0,66736.0,2.69260949743358,107.3,15527.0,29863.0,772.9,1388.1,12985.0,25505.0,584.0,1123.0,45390.0,38490.0,1.46942088431732
1994,72732.0,69877.0,5.75582705749179,111.0,18875.0,31329.0,980.9,1464.0,16230.0,30253.0,736.0,1341.0,50204.0,46483.0,2.30919875061488
1995,77994.0,74313.0,9.63442207285961,114.7,20675.0,28613.0,1182.1,1483.9,19320.0,27715.0,937.0,1348.0,49288.0,47035.0,2.52486728005296
1996,87202.0,85629.0,7.37962433469586,116.3,26598.0,34408.0,1659.2,2017.9,25628.0,30381.0,1292.0,1668.0,61006.0,56009.0,1.75373213896016
1997,102222.0,102712.0,11.0217649889624,120.4,30671.0,33981.0,2158.6,2265.6,28193.0,29708.0,1696.0,1894.0,64652.0,57901.0,1.52560521714534
1998,125302.0,134529.0,8.76612230997861,124.9,29220.0,39705.0,2459.0,3196.1,27355.0,34052.0,1967.0,2620.0,68925.0,61407.0,2.41551787239232
1999,148521.0,163316.0,10.5298862580675,131.0,32722.0,45850.0,3293.4,4399.3,31359.0,39458.0,2777.0,3740.0,78572.0,70817.0,1.63192376414532
2000,169191.0,190550.0,9.40352464209762,141.0,33289.0,47567.0,3726.2,5277.4,31533.0,42725.0,3094.0,4505.0,80856.0,74258.0,5.59071729957807
2001,182863.0,206117.0,5.3058209115725,161.5,29277.0,39785.0,3695.9,5036.6,29431.0,37355.0,3309.0,4355.0,69062.0,66786.0,4.87290487290487
2002,198087.0,227799.0,5.89936576117442,171.8,39399.0,53737.0,5985.9,8373.4,32298.0,46994.0,4354.0,6471.0,93136.0,79292.0,4.614733276884
2003,224567.0,264898.0,3.01383807882773,176.5,39676.0,58212.0,6968.2,10477.8,35292.0,49457.0,5398.0,8126.0,97888.0,84749.0,3.49048968029138
2004,249191.0,294667.0,6.78814020435452,181.5,50018.0,54287.0,9750.0,11269.2,44231.0,54478.0,7416.0,9517.0,104305.0,98709.0,2.19962850718543
2005,276221.0,330399.0,5.7397821688559,186.9,58104.0,61933.0,12971.0,14782.3,53758.0,53922.0,9689.8,11846.0,120037.0,107680.0,2.42969198392961
2006,305637.0,371447.0,4.98785347349479,194.2,53895.0,60698.0,13994.7,17387.5,55737.0,55516.0,11001.5,14493.8,114593.0,111253.0,3.93163989540532
2007,322634.0,377850.0,5.31011814691841,201.7,40497.0,48250.0,10560.4,13503.7,46588.0,37698.0,11649.5,10807.4,88747.0,84286.0,4.89711564381346
2008,305269.0,348804.0,-4.48407049219472,209.4,26293.0,29586.0,6625.2,8515.0,24467.0,29224.0,6454.5,8053.8,55879.0,53691.0,4.06030495117353
2009,242033.0,275250.0,-5.09578275532317,206.5,12584.0,15340.0,2719.7,3711.4,9832.0,15340.0,2242.1,3588.5,27924.0,25172.0,-4.47810339150477
2010,228268.0,274125.0,1.68297153835975,208.7,6991.0,13030.0,1354.6,2799.3,6923.0,11459.0,1444.5,2355.0,20021.0,18382.0,-0.922095829024469
2011,230303.0,260387.0,0.833830148555222,203.1,2960.0,9874.0,541.2,1886.4,3033.0,8204.0,620.1,1484.7,12834.0,11237.0,2.5571888318692
2012,220415.0,249132.0,-0.0055420106699415,203.5,3457.0,14312.0,599.5,2625.5,3229.0,11080.0,591.0,1893.0,17769.0,14309.0,1.69620897294545
2013,228216.0,255912.0,1.12568964599835,204.7,2974.0,16284.0,530.6,3178.6,2522.0,11093.0,432.6,1935.8,19258.0,13615.0,0.508714869485436
2014,246378.0,261634.0,8.64935060757608,206.0,4461.0,27436.0,869.7,5317.4,3727.0,16599.0,636.6,3033.5,31897.0,20326.0,0.182542316627949
2015,281432.0,264565.0,24.3704453546988,207.1,4685.0,27551.0,996.5,5329.4,4376.0,19535.0,816.8,3632.0,32236.0,23911.0,-0.289879079012739
2016,313483.0,276272.0,2.00665411509893,208.2,6450.0,28587.0,1517.1,5767.7,5284.0,19861.0,1111.5,3885.2,35037.0,25145.0,0.0083063377356992
